                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5427,                 3.6198,                 3.4602,                 1.6982,                0.00326,                0.68095,                0.15051,                0.07167,                0.00308,                0.68333,                0.13233,                0.05511,                 1.5709,                 3.7163,                 3.8495,                 1.8156,             0.00023338,             0.00023338,             0.00023338
                      2,                 1.4224,                 2.9627,                 3.1318,                 1.6167,                0.00351,                0.55952,                0.07163,                0.03384,                0.00259,                0.42619,                0.04045,                0.01831,                 2.1663,                 5.7185,                 4.2384,                 2.2678,             0.00047386,             0.00047386,             0.00047386
                      3,                 1.5122,                 2.9149,                 2.7976,                 1.6584,                0.00421,                0.73095,                0.13324,                0.05749,                0.00381,                0.68929,                0.13056,                0.04505,                 1.9019,                 4.1993,                  3.989,                 2.1834,             0.00070443,             0.00070443,             0.00070443
                      4,                 1.5908,                 2.8858,                  2.587,                 1.6965,                0.00323,                0.46667,                0.09367,                0.03336,                0.00271,                0.39405,                0.06568,                0.01541,                 2.3106,                 5.5734,                 4.2033,                 2.7317,             0.00092511,             0.00092511,             0.00092511
                      5,                 1.5264,                 2.9202,                 2.4658,                 1.6675,                0.00354,                0.53929,                0.14314,                0.06573,                0.00327,                0.43571,                0.10215,                0.03079,                 1.9471,                 7.9698,                  3.807,                 2.5273,              0.0011359,              0.0011359,              0.0011359
                      6,                 1.5632,                 3.0236,                  2.492,                 1.6919,                0.58219,                0.11905,                0.06463,                0.02614,                0.58219,                0.11905,                0.04948,                0.01492,                 2.3307,                 7.5231,                 3.8944,                 3.1162,              0.0013368,              0.0013368,              0.0013368
                      7,                 1.5401,                 2.8565,                 2.4325,                 1.6771,                0.69422,                0.07738,                0.09911,                 0.0334,                0.64417,                0.08929,                0.08126,                 0.0244,                 2.4179,                 8.6323,                 4.9468,                 4.7039,               0.001469,               0.001469,               0.001469
                      8,                 1.5714,                  2.853,                 2.3695,                 1.6836,                 0.7539,                0.07738,                0.09053,                0.02605,                0.66641,                0.09524,                0.08603,                0.02214,                 2.6103,                 7.2789,                 3.7238,                 3.3406,               0.001436,               0.001436,               0.001436
                      9,                 1.5896,                 2.8906,                 2.3647,                 1.7186,                0.65183,                0.14286,                0.10908,                0.02948,                0.68014,                0.11905,                0.12743,                0.03303,                  2.451,                 4.6781,                 3.7197,                 3.0694,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.6283,                 2.8651,                 2.3897,                 1.6867,                0.44203,                 0.1869,                 0.1579,                 0.0458,                0.35104,                0.20476,                0.14224,                0.04634,                 2.3261,                 5.0866,                 3.4215,                 2.7748,              0.0013699,              0.0013699,              0.0013699
